"artist_name","cnts","popularity_average"
"Alfons","3","39.00"
"Camilo","3","78.33"
"The Strumbellas","3","48.67"
"Eve","3","49.67"
"StarBoi3","3","86.33"
"Charli XCX","3","69.00"
"BIGBANG","3","69.00"
"Bad Bunny","3","88.33"
"Aly & AJ","3","70.67"
"Engelwood","3","22.67"
"Dj Wesley Gonzaga","3","61.33"
"Jay Sean","3","58.67"
"Inigo Pascual","3","48.33"
"Yung Bae","3","59.67"
"Tinashe","3","71.00"
"Myke Towers","3","81.67"
"BeatKing","3","21.67"
"Ray J","3","44.67"
"El Alfa","3","72.33"
"Bodybangers","3","47.33"
"DJ Gotta","3","36.00"
"Lonely God","3","74.00"
"Gwen Stefani","3","69.33"
"FiloChill","3","47.00"
"Foster The People","3","84.00"
"Sebastian Rhodes","3","30.67"
"SoFaygo","3","73.33"
"Tyler, The Creator","3","76.00"
"Lucas Estrada","3","41.67"
"Lizz Robinett","3","68.00"
"Mother Mother","3","82.67"
"YG","3","70.00"
"Queen","3","61.67"
"Surf Mesa","3","84.00"
"Lou Bega","3","43.00"
"MC Meno K","3","57.33"
"1096 Gang","3","38.33"
"AURORA","3","68.00"
"Soulthrll","3","59.00"
"Fleetwood Mac","3","80.00"
"The Backyardigans","3","71.00"
"300yearsyoung","3","0.67"
"Elevating Sounds","3","38.00"
"DJ Chose","3","59.67"
"Sada Baby","3","65.00"
"Miguel","3","78.00"
"Gritty Lex","3","8.67"
"LBS Kee'vin","3","35.33"
"Reyn Hartley","3","46.67"
"C2d","3","73.00"
"Sabby Sousa","3","14.67"
"Rontae Don't Play","3","44.33"
"Hiko","3","48.33"
"Jowell & Randy","3","70.00"
"Bea Miller","3","71.33"
"Ty Dolla $ign","3","53.00"
"Netta","3","66.00"
"Yung Skrrt","3","47.00"
"Bring Me The Horizon","3","75.67"
"AJR","3","71.67"
"Studio Killers","3","59.33"
"BRS Kash","3","66.33"
"BØRNS","3","84.00"
"Larissa Lambert","3","77.00"
"Timmy Trumpet","3","54.67"
"Mazen","3","31.33"
"Arvey","3","55.00"
"LIL MAYO","3","49.67"
"KRYPTO9095","3","61.00"
"Chrishan","3","37.00"
"Lil Baby","3","76.67"
"Yung Gravy","3","73.00"
"Regard","3","83.67"
"ALVIDO","3","22.67"
"Karl Wine","3","26.67"
"Leat'eq","3","67.33"
"Labrinth","3","81.00"
"Alexander 23","3","53.33"
"Henyong Makata","3","43.67"
"Kamaiyah","3","3.00"
"Cali Swag District","3","69.00"
"Zack Tabudlo","3","71.67"
"Dante Boy","3","11.00"
"BROCKHAMPTON","3","73.00"
"Alex McArtor","3","39.00"
"Music Hero","3","67.00"
"Monica","3","43.00"
"Beach Bunny","3","69.67"
"Joni Remix","3","37.33"
"Dj πrata","3","51.67"
"dj Shawny","3","44.00"
"Dj Rowel","3","37.00"
"Al James","3","53.00"
"Vengaboys","3","74.00"
"Cosmo Sheldrake","3","19.00"
"James Arthur","3","84.67"
"Frances Forever","3","37.33"
"Bankrol Hayden","3","37.67"
"Paul Anka","3","72.00"
"KD One","3","64.67"
"Riton","3","63.33"
"DjDanz Remix","3","36.00"
"iLoveMemphis","3","44.00"
"Blueface","3","65.33"
"Shakira","3","80.00"
"La Roux","3","67.33"
"ItsLee","3","44.67"
"Migos","3","69.67"
"Disco Lines","3","46.33"
"The Wombats","3","66.67"
"Post Malone","3","79.67"
"Gunna","3","70.33"
"BMW KENNY","3","49.00"
"TOKYO’S REVENGE","3","72.00"
"Roel Cortez","3","41.67"
"MORGENSHTERN","3","66.00"
"Ellie Goulding","3","68.67"
"NextYoungin","3","46.67"
"Sueco","3","68.67"
"Hr. Troels","3","60.00"
"Juice WRLD","3","80.67"
"Blanco Brown","3","26.00"
"King Von","3","69.67"
"DankTiks","3","1.00"
"Ajay Stephens","3","53.00"
"Kid Ink","3","66.00"
"Ozuna","3","77.67"
"Halsey","3","79.00"
"Kodak Black","3","76.33"
"Kardinal Offishall","3","78.67"
"ROSALÍA","3","78.00"
"Tommee Profitt","3","72.33"
"YN Jay","3","37.33"
"Alle Farben","3","57.67"
"Russ","3","73.33"
"Clean Bandit","3","61.00"
"Nio Garcia","3","78.00"
"Lele Pons","3","64.67"
"Hd4president","3","58.00"
"JACKBOYS","3","83.00"
"XANAKIN SKYWOK","3","50.00"
"OMC","3","61.67"
"J Boog","3","70.00"
"Chimbala","3","59.00"
"Tove Lo","3","59.33"
"Aqyila","3","60.00"
"Alok","3","78.33"
"Power Beats Club","3","27.33"
"THE BOYZ","3","41.00"
"Joy","3","46.00"
"Aya Nakamura","3","79.67"
"Illijah","3","61.00"
"Tamia","3","57.00"
"DJ Bryanflow","3","50.33"
"Sevyn Streeter","3","71.00"
"Trey Songz","3","69.00"
"Bella Poarch","3","89.67"
"Sam Concepcion","3","53.00"
"Eminem","3","80.67"
"SOMMA","3","67.33"
"Justin Wellington","3","75.00"
"Madism","3","64.67"
"Sia","3","73.67"
"Astrid S","3","42.00"
"T-Wayne","3","64.00"
"Lil Darkie","3","72.33"
"R. Kelly","3","62.00"
"benny blanco","3","74.00"
"bbno$","3","60.33"
"KYLE","3","54.67"
"PDL","3","62.67"
"Yandro El Protagonista","3","39.00"
"Curtis Waters","3","25.33"
"Monte Booker","3","63.00"
"Mark B.","3","58.00"
"Millie B","3","0.00"
"Avocuddle","3","63.00"
"Ez Mil","3","49.33"
"Trill Ryan","3","59.00"
"Powfu","3","87.00"
"UPSAHL","3","72.67"
"Blanco","3","53.67"
"December Avenue","3","64.00"
"Charly Black","3","69.33"
"Jerome","3","58.67"
"Luh Kel","3","66.00"
"Kreepa","3","66.00"
"YFN Lucci","3","62.33"
"Bandang Lapis","3","64.00"
"kostromin","3","78.00"
"BYNX","2","39.50"
"Andrew Gold","2","54.50"
"Justin Vasquez","2","52.00"
"The Script","2","65.00"
"PiuPiu","2","44.00"
"K-391","2","72.00"
"Xilo","2","67.00"
"Billy Crawford","2","25.50"
"KIIINGSAM","2","49.00"
"Chord Overstreet","2","82.00"
"The Cardigans","2","67.00"
"Cheflodeezy","2","23.50"
"tearo, the ghost","2","42.00"
"Apollo Fresh","2","34.00"
"RC","2","24.00"
"Ella Mai","2","71.50"
"Zoe Wees","2","78.00"
"LAUWE","2","55.50"
"L.Dre","2","67.00"
"Darwin","2","9.50"
"Highup","2","41.50"
"MC Zaquin","2","75.50"
"Famous Dex","2","60.00"
"Jack Stauber","2","74.00"
"DJ Enjel","2","0.00"
"Bebe Rexha","2","78.50"
"Rich The Kid","2","74.00"
"Rainych","2","57.50"
"JoeVille","2","0.00"
"Matoma","2","66.50"
"Madison Beer","2","73.00"
"No Genre","2","34.00"
"FLETCHER","2","69.50"
"Offset","2","82.00"
"Ness The Kid","2","28.00"
"YSB Eli","2","24.50"
"Trevor Wesley","2","57.50"
"cinnamons","2","66.00"
"Mac Miller","2","76.00"
"Geo Ong","2","23.50"
"Sech","2","84.50"
"WilliamGregory","2","36.00"
"Mo2crazee","2","56.50"
"Porter Robinson","2","66.50"
"The Living Tombstone","2","73.00"
"Billy Joel","2","68.00"
"Comethazine","2","59.00"
"Dubskie","2","27.50"
"Marshmello","2","80.50"
"AJ Gravity","2","48.00"
"Lil Sil","2","43.50"
"Unghetto Mathieu","2","67.00"
"xotrapp","2","27.50"
"Kenndog","2","35.00"
"Jamayne","2","30.00"
"DJ Eezy","2","24.00"
"Naeleck","2","63.00"
"Sadfriendd","2","35.00"
"Toby Fox","2","0.00"
"Tory Lanez","2","75.00"
"Natti Natasha","2","82.50"
"Hazel Faith","2","41.00"
"KILLY","2","53.00"
"Okean Elzi","2","2.00"
"Bhad Bhabie","2","68.00"
"Nelly","2","74.50"
"Quavo","2","66.00"
"Michael Dutchi Libranda","2","58.00"
"Dathan","2","65.00"
"SPENCE","2","32.00"
"Salt-N-Pepa","2","62.00"
"Jae Trill","2","57.00"
"Karri","2","53.00"
"Dillon Francis","2","55.50"
"Anson Seabra","2","72.50"
"SLANDER","2","82.50"
"SOMI","2","6.00"
"DJ Purpberry","2","55.00"
"Diplo","2","68.00"
"Ocho Drippin","2","52.00"
"Michael Pangilinan","2","58.00"
"Mark Mendy","2","64.50"
"Gooney Jib","2","42.00"
"Mc Zaac","2","71.00"
"KAAZE","2","42.00"
"Marc E. Bassy","2","66.00"
"Wight Kid","2","1.00"
"Dj Kass","2","56.00"
"Young Maylay","2","65.00"
"Disclosure","2","70.50"
"Soundofyou","2","26.50"
"dj 6rb","2","55.00"
"James Carter","2","33.00"
"Noisettes","2","74.50"
"Lil Wayne","2","49.50"
"Mooski","2","80.00"
"HVME","2","44.50"
"PLVTINUM","2","50.00"
"WILLOW","2","81.00"
"Haska","2","50.50"
"Yung Baby Tate","2","72.00"
"BURNOUT SYNDROMES","2","63.50"
"Johnnie Mikel","2","29.00"
"YungManny","2","70.50"
"Gary Valenciano","2","31.00"
"dewolS Music","2","62.00"
"D-Rah","2","47.00"
"Amaru Cloud","2","38.00"
"Lloyd","2","28.00"
"CMTEN","2","1.00"
"Little Simz","2","77.00"
"Chloe George","2","78.00"
"Avenue Beat","2","32.50"
"James Blake","2","67.50"
"flora cash","2","72.50"
"Conan Gray","2","85.50"
"JustRap","2","41.00"
"Ev0lution","2","2.00"
"6ix9ine","2","65.00"
"Christina Perri","2","68.00"
"Armin van Buuren","2","46.50"
"Plies","2","56.50"
"Sohodolls","2","64.00"
"Daft Punk","2","76.00"
"Kooly Bros","2","9.50"
"INOJ","2","50.50"
"Danny Aro","2","20.50"
"Lil Xxel","2","1.00"
"Leon Jaar","2","35.00"
"Die Antwoord","2","57.00"
"MixAndMash","2","52.00"
"Robin Schulz","2","73.00"
"DjKeinth","2","43.00"
"Ying Yang Twins","2","42.50"
"TWICE","2","71.50"
"Dimitri Vegas & Like Mike","2","61.00"
"EGOVERT","2","35.00"
"KA!RO","2","34.00"
"YoungBoy Never Broke Again","2","70.00"
"Polo Frost","2","56.00"
"Jeaux","2","17.50"
"Joey Purp","2","65.00"
"Timmy Thomas","2","45.50"
"Dj Raulito","2","39.50"
"YNG Martyr","2","50.00"
"DeeWunn","2","49.00"
"ppcocaine","2","62.00"
"Justina Valentine","2","45.00"
"Josiane Lessard","2","64.50"
"Steve Aoki","2","54.00"
"Bonde R300","2","36.00"
"Badda TD","2","59.00"
"Fools Garden","2","75.00"
"Moguai","2","52.00"
"Phil The Beat","2","64.00"
"Marcus Layton","2","50.00"
"Denari","2","39.50"
"Revelries","2","65.00"
"Alex Megane","2","25.50"
"Coi Leray","2","74.50"
"Macklemore","2","76.00"
"Rasster","2","57.50"
"Glee Cast","2","63.00"
"Simple Plan","2","73.00"
"Reyanna Maria","2","71.00"
"Blaine","2","38.00"
