"speechiness","track_name"
"0.374","Beat Box 3 (feat. DaBaby)"
"0.0658","BEAT DO AKON (Funk Remix)"
"0.299","Beat It"
"0.109","Beat It (feat. Chris Brown & Wiz Khalifa)"
"0.0291","Beat Up Guitar"
"0.0337","Beautiful (feat. Camila Cabello)"
"0.0403","Beautiful Boy (Darling Boy) - Remastered 2010"
"0.0453","Beautiful Girls"
"0.0687","Beautiful Girls"
"0.221","Beautiful Girls - A Cappella"
"0.0823","Beautiful Girls - Tik Tok Remix"
"0.642","Beautiful Pain (Losin My Mind)"
"0.0597","Beautiful Scars"
"0.0621","Beautiful Scars"
"0.0383","Bebe - Female Version"
"0.0356","Because Of You"
"0.035","Because the Night"
"0.0341","BED"
"0.221","Beef FloMix"
"0.218","Beez In The Trap"
"0.0573","Before You Go"
"0.0672","Beggin'"
"0.057","Beggin (original version)"
"0.145","beibs in the trap"
"0.108","Believer"
"0.0783","Bella Poarch's Chicken Wings"
"0.0523","beside you"
"0.0346","Best Day Of My Life"
"0.19","Best Ever (feat. Ayo & Teo)"
"0.136","Best Friend (feat. Doja Cat)"
"0.337","Best I Ever Had"
"0.375","Best I Ever Had"
"0.0963","Best I Ever Had. - Slowed"
"0.078","BEST ON EARTH (feat. BIA) - Bonus"
"0.297","BET"
"0.133","Better Days"
"0.0562","Better For"
"0.0427","Better Off Alone"
"0.0754","Better People"
"0.0324","Better When I'm Dancin'"
"0.187","Beware"
"0.0329","Biarlah Semua Berlalu Remix"
"0.152","BICHOTA"
"0.259","Bichota (Dance Remix)"
"0.389","BIG BANK"
"0.331","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)"
"0.232","Big Fun"
"0.391","Big Gangsta"
"0.0318","Big Jet Plane"
"0.378","BIG PURR (Prrdd) (feat. Pooh Shiesty)"
"0.0418","Biglang Liko"
"0.0401","Billie Jean"
"0.257","Billie Jean X Boo X F It Up - Remix"
"0.0581","Bim Bam toi"
"0.0337","Binalewala - Original Version"
"0.032","Binibini"
"0.0749","Binibini"
"0.0667","Binibining Dalaga"
"0.0877","Bipolar"
"0.381","Bird Huntin"
"0.688","BIRDBOY"
"0.0681","Birthday"
"0.257","Birthday"
"0.0427","Birthday Sex"
"0.0439","Birthday Sex"
"0.231","Birthday Suit"
"0.22","Birthday Suit"
"0.0371","Bisane Mung Nyawan - Nofin Asia Music Cover"
"0.0415","Bisaya"
"0.029","Bitaw Na"
"0.242","Bitch From Da Souf"
"0.435","Bitch I Am Up"
"0.102","Bitter"
"0.0735","Bitter (feat. Trevor Daniel)"
"0.036","Black Corridor"
"0.0302","Blackout"
"0.695","BLACKOUT"
"0.187","Blanco"
"0.0927","Blastoff (feat. Juice Wrld & Trippie Redd)"
"0.0446","Bleeding Love"
"0.0469","Blessings / Celebration"
"0.0405","Blinding Lights"
"0.0598","Blinding Lights"
"0.0629","Blinding Lights"
"0.0965","Blinding Lights"
"0.0797","Blinding Lights"
"0.0571","Blinding Lights (Female)"
"0.242","Blinding Lights. - Slowed"
"0.159","Bloodstream"
"0.0793","Bloqueia Eu - Remix"
"0.0439","Blow Me (One Last Kiss)"
"0.125","Blow The Speakers Up"
"0.122","Blow Your Mind (Mwah)"
"0.0655","Blueberry Faygo"
"0.0383","Blueberry Faygo"
"0.137","Blueberry Faygo"
"0.242","Blueberry Faygo (Female)"
"0.0483","blueberry faygo (special)"
"0.411","Bluegrass"
"0.241","Body"
"0.357","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
"0.0519","Body Babadontot"
"0.0484","Body On My Body"
"0.184","Bongga Ka Day"
"0.0442","Bonggahan"
"0.116","Bongo Cha Cha Cha"
"0.0473","Bongo Cha Cha Cha"
"0.106","Bongo Cha Cha Cha (Summer Beat)"
"0.375","BOO!"
"0.0502","BOOM"
"0.109","Boom Diggy (Black Girl Magic)"
"0.0407","Boom, Boom, Boom, Boom!!"
"0.361","Boombastic"
"0.166","Boomin' Like Metro"
"0.098","Booty"
"0.315","Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)"
"0.324","Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)"
"0.367","BOP"
"0.11","Bop It"
"0.0506","Borderline"
"0.0478","Bored"
"0.321","Bored In The House"
"0.222","Boss Bitch"
"0.0437","Botella Tras Botella"
"0.0465","Bound 2"
"0.0412","Bounty"
"0.227","Bout Mine"
"0.069","Bow - Slowed"
"0.0389","boy u look so pretty"
"0.0965","Boy With Luv (feat. Halsey)"
"0.128","Boyfriend"
"0.0394","Boyfriend"
"0.0543","Boyfriend"
"0.461","boyfriend (with Social House)"
"0.208","Boyfriend, Girlfriend"
"0.137","Boys Ain't Shit"
"0.0804","Brag"
"0.0378","Bras and Jeans"
"0.0287","Brazil"
"0.0681","BRB"
"0.0883","Break My Heart"
"0.0607","Break My Stride"
"0.36","Break Ya Back"
"0.0242","Breakeven"
"0.218","Breaking Me"
"0.0762","Breaking Me - Female Version"
"0.0448","Breaking with You"
"0.0497","Breakup"
"0.0344","Breathe"
"0.0344","Breezeblocks"
"0.0738","Bright Man Unta Ka"
"0.0851","Bring It Back"
"0.283","Broadway"
"0.221","Broccoli - Chopped and Screwed"
"0.0412","Broken"
"0.128","Broken Hearts"
"0.0407","Brooklyn Baby"
"0.19","Brother Louie"
"0.0677","Bruises"
"0.242","Bubble Gum (with Yandel)"
"0.262","Bubble Pop Electric"
"0.0311","Bubblegum Bitch"
"0.137","Buck the Jack"
"0.0428","Budots Dance"
"0.04","Budots Mix No. 1"
"0.0571","Buff Baby"
"0.0367","Build a Bitch"
"0.0902","Build Me Up Buttercup"
"0.0444","Bukan Cinta Biasa"
"0.0408","Bukan PHO - Rawi Beat Remix"
"0.0431","Bukan Pho Yang Gatal Gatal"
"0.0556","Bukan untukku"
"0.0477","Bulletproof"
"0.0311","Bulletproof"
"0.405","Bullshit"
"0.0313","Bulong"
"0.04","Bumalik Ka Na Sa'kin"
"0.113","Bumpin'"
"0.038","Bumpy Ride"
"0.306","Bundles (feat. Taylor Girlz)"
"0.238","Bunny Girl"
"0.296","Bunx Up"
"0.0479","Burnin' It Down"
"0.0383","Burning Pile"
"0.332","bury a friend"
"0.0909","BUSS HER UP"
"0.213","Buss It"
"0.173","Buss It"
"0.208","Bussin"
"0.111","Bust It Open"
"0.122","Bust Your Windows"
"0.0948","Butter"
"0.0384","Buttercup"
"0.0706","Buttercup"
"0.0704","butterfly"
"0.165","Butterfly Effect"
"0.0657","Butterfly Effect (Chopped and Screwed)"
"0.27","Buttons"
"0.04","Buwan"
"0.0327","Buwan - Kundiman"
"0.09","By The Pound"
"0.053","Byahe"
"0.0309","C'est La Vie"
"0.0625","C.B.W."
"0.17","Cabelinho na Regua"
"0.221","Cai de vagarinho até embaixo"
"0.188","Cake"
"0.0624","Calabria"
"0.102","Call Me Again"
"0.0569","Call Me Back 80 Times"
"0.0408","Call Me Maybe"
"0.0354","Call out My Name (Slowed + Reverb)"
"0.082","Call You Mine (feat. Nina Chuba)"
"0.0539","Calling My Phone"
"0.15","Calling My Phone"
"0.255","Calling My Phone - Female Version"
"0.699","Camisa do Flamengo"
"0.0659","Campus"
"0.173","Can't Hold Back"
"0.0786","Can't Hold Us - feat. Ray Dalton"
"0.0661","Can't Remember to Forget You (feat. Rihanna)"
"0.0547","CAN'T SAY"
"0.0264","Can't Stop (Oh No)"
"0.161","Can't Trust A Soul"
"0.0357","Can We Kiss Forever?"
"0.0369","Can We Kiss Forever?"
"0.0595","Can You Feel My Heart"
"0.0561","Can You Feel My Heart"
"0.0451","Canary Wharf"
"0.389","Canceled"
"0.101","Candela"
"0.08","Candlelight"
"0.0395","Candy"
"0.0374","Candy"
"0.0414","Candy"
"0.0444","Candy"
"0.466","Candy Shop"
"0.106","Cannibal"
"0.0658","Cannibal"
"0.373","CAP"
"0.287","Captain Hook"
"0.288","Captain Hook"
"0.0363","Careless Whisper"
"0.0759","Carol Of The Bells"
"0.505","Caroline"
"0.0729","Carry On"
"0.203","Cars That Go Boom"
"0.132","Cars with the Boom"
"0.0763","CARTIER"
"0.409","Castaways"
"0.38","Catch Me"
"0.107","Catching Feelings"
"0.0545","Catriona"
"0.539","Caution"
"0.0619","Caution Sign"
"0.0551","Cavalo de Tróia"
"0.172","Cha Cha"
"0.147","Cha Cha Slide"
"0.0962","ChaCha 2 Step"
"0.0373","Chain Hang Low (Trap Remix) [TikTok Dance]"
"0.05","Chamber of Reflection - Chopped Not Slopped Remix"
"0.237","Chanel"
"0.172","Chanel - Slowed"
"0.144","Chanel (Go Get It) [feat. Gunna & Lil Baby]"
"0.0776","Chanel Bag"
"0.0369","Change Ya Life"
"0.029","changes"
"0.0445","Changes"
"0.0253","Chasing Pavements"
"0.215","Cheap Thrills (feat. Sean Paul)"
"0.0549","Cheating is a crime"
"0.0793","CHECKMATE"
"0.116","Chica Ideal - Female Version"
"0.419","Chicken N Grits"
"0.407","Chicken N Grits (feat. Trey Songz) - Remix"
"0.0433","Chicken Wing"
"0.335","Chika Dance"
"0.253","Chinese New Year"
"0.0638","Chinita"
"0.213","Chinita Girl"
"0.0491","Chit Chat"
"0.0663","Chito"
"0.0705","Chivalry Is Dead"
"0.25","Chivirika"
"0.338","Choices (Yup)"
"0.287","Chosen (feat. Ty Dolla $ign)"
"0.0651","Chun Swae (feat. Swae Lee)"
"0.0263","Cigarette Daydreams"
"0.0412","Cinta Luar Biasa - Remix"
"0.0965","Circus"
"0.0493","CITY OF ANGELS"
"0.571","CITY OF ANGELS - LLusion Funk Remix"
"0.0564","Clandestina"
"0.416","CLAP"
